City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
174,Jardim,BR,-21.48,-56.14,74.53,64,30,4.27,scattered clouds,0.0,0.0
175,Torbay,CA,47.67,-52.73,68.0,82,90,5.82,overcast clouds,0.0,0.0
176,Adrar,MR,20.5,-10.07,110.86,6,9,13.65,clear sky,0.0,0.0
177,Carutapera,BR,-1.2,-46.02,85.75,68,29,9.24,light rain,0.23,0.0
178,Calama,CL,-22.47,-68.93,64.4,11,83,13.87,broken clouds,0.0,0.0
179,Ribeira Grande,PT,38.52,-28.7,73.4,83,75,12.75,broken clouds,0.0,0.0
180,Kawalu,ID,-7.38,108.21,70.7,91,79,0.29,broken clouds,0.0,0.0
181,Trat,TH,12.5,102.5,76.77,92,76,2.77,broken clouds,0.0,0.0
182,San Patricio,MX,19.22,-104.7,86.0,74,20,23.04,few clouds,0.0,0.0
183,Moscow,RU,55.75,37.62,73.0,72,69,6.71,light rain,0.22,0.0
184,Fairbanks,US,64.84,-147.72,68.0,51,40,5.82,scattered clouds,0.0,0.0
185,San Blas,MX,21.52,-105.27,84.2,58,75,3.36,broken clouds,0.0,0.0
186,Anloga,GH,5.79,0.9,80.6,83,20,11.41,few clouds,0.0,0.0
187,Vilhena,BR,-12.74,-60.15,86.95,35,28,4.59,scattered clouds,0.0,0.0
188,Mount Gambier,AU,-37.83,140.77,39.2,93,43,6.93,scattered clouds,0.0,0.0
189,Taltal,CL,-25.4,-70.48,63.48,59,100,2.82,overcast clouds,0.0,0.0
190,Show Low,US,34.25,-110.03,73.4,23,1,24.16,clear sky,0.0,0.0
191,Souillac,MU,-20.52,57.52,71.6,83,40,10.67,scattered clouds,0.0,0.0
192,Mahebourg,MU,-20.41,57.7,71.6,83,40,12.01,scattered clouds,0.0,0.0
193,Lebu,CL,-37.62,-73.65,54.63,90,81,14.7,light rain,0.29,0.0
194,Cayenne,GF,4.93,-52.33,84.2,79,76,4.7,light rain,0.71,0.0
195,Rameswaram,IN,9.28,79.3,85.5,79,71,14.58,broken clouds,0.0,0.0
196,Staryy Nadym,RU,65.61,72.68,49.44,86,100,15.52,overcast clouds,0.0,0.0
197,Derzhavinsk,KZ,51.1,66.32,59.72,84,95,10.51,light rain,0.2,0.0
198,Zhezkazgan,KZ,47.8,67.71,62.22,83,99,5.75,moderate rain,1.04,0.0
199,Bhind,IN,26.56,78.79,97.23,38,43,8.66,scattered clouds,0.0,0.0
200,Panaba,MX,21.28,-88.27,89.44,63,52,8.08,light rain,0.75,0.0
201,Sabya,SA,17.15,42.63,91.4,70,75,6.93,broken clouds,0.0,0.0
202,Port Blair,IN,11.67,92.75,82.92,79,99,9.33,light rain,0.82,0.0
