City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Tsiroanomandidy,MG,2020-06-24 22:17:18,-18.77,46.03,64.11,81,18,3.47
202,Cherskiy,RU,2020-06-24 22:17:19,68.75,161.3,57.9,36,62,3.42
203,Qaanaaq,GL,2020-06-24 22:17:19,77.48,-69.36,39.78,71,76,8.48
204,Deputatskiy,RU,2020-06-24 22:17:19,69.3,139.9,72.77,34,0,3.51
205,Kousseri,CM,2020-06-24 22:13:41,12.08,15.03,87.8,52,53,8.05
206,Lushoto,TZ,2020-06-24 22:17:19,-4.78,38.28,54.72,100,40,4.18
207,Batavia,US,2020-06-24 22:13:13,41.85,-88.31,79.0,41,90,14.99
208,Kondinskoye,RU,2020-06-24 22:17:19,59.65,67.41,47.71,91,100,3.53
209,Port Augusta,AU,2020-06-24 22:17:19,-32.5,137.77,42.8,81,0,9.17
210,Adre,TD,2020-06-24 22:17:09,13.47,22.2,77.0,54,72,2.62
211,Cayenne,GF,2020-06-24 22:17:19,4.93,-52.33,78.8,94,75,6.51
212,Ketchikan,US,2020-06-24 22:17:20,55.34,-131.65,62.6,59,75,12.75
213,Agadez,NE,2020-06-24 22:13:07,19.75,10.25,85.21,13,0,0.07
214,Kenai,US,2020-06-24 22:17:20,60.55,-151.26,55.0,76,90,9.17
215,Nakhon Phanom,TH,2020-06-24 22:17:20,17.41,104.78,76.6,94,100,2.1
216,Barra Do Garcas,BR,2020-06-24 22:14:39,-15.89,-52.26,73.92,59,0,3.06
217,Rong Kwang,TH,2020-06-24 22:17:20,18.34,100.32,77.11,88,100,1.45
218,Bageshwar,IN,2020-06-24 22:12:23,29.85,79.77,72.45,74,64,0.85
219,Luba,GQ,2020-06-24 22:17:20,3.46,8.55,75.2,88,75,1.12
220,Tilichiki,RU,2020-06-24 22:14:09,60.47,166.1,59.47,54,19,6.35
221,Voskresenskoye,RU,2020-06-24 22:17:20,56.84,45.43,45.34,77,2,4.83
222,Mufumbwe,ZM,2020-06-24 22:17:20,-13.68,24.8,53.38,46,0,5.08
223,Inirida,CO,2020-06-24 22:17:20,3.87,-67.92,80.26,87,86,1.16
224,Poronaysk,RU,2020-06-24 22:17:20,49.22,143.12,46.89,97,100,5.77
225,Puerto Rico,AR,2020-06-24 22:17:20,-26.8,-55.02,71.91,60,9,5.1
226,Inuvik,CA,2020-06-24 22:17:21,68.35,-133.72,50.0,46,90,2.24
227,Moroni,KM,2020-06-24 22:17:21,-11.7,43.26,76.91,78,11,14.38
228,Aksarka,RU,2020-06-24 22:17:21,66.56,67.8,44.31,80,61,10.07
229,Padre Bernardo,BR,2020-06-24 22:17:21,-15.35,-48.5,71.49,61,12,6.55
230,Labrea,BR,2020-06-24 22:14:23,-7.26,-64.8,82.71,67,98,1.12
231,Jiuquan,CN,2020-06-24 22:17:21,39.74,98.52,61.07,28,11,1.03
232,Thinadhoo,MV,2020-06-24 22:14:40,0.53,72.93,83.5,79,85,12.66
233,Mareeba,AU,2020-06-24 22:17:21,-17.0,145.43,71.6,73,90,10.29
234,Kindersley,CA,2020-06-24 22:16:17,51.47,-109.17,75.2,64,75,10.29
235,Goderich,CA,2020-06-24 22:17:21,43.75,-81.72,68.0,70,0,18.7
236,Sonoita,MX,2020-06-24 22:17:22,31.85,-112.83,109.0,7,52,15.82
237,Konya,TR,2020-06-24 22:17:22,38.17,32.5,68.0,49,1,13.87
238,Ambilobe,MG,2020-06-24 22:17:22,-13.2,49.05,67.51,87,0,3.69
239,Isangel,VU,2020-06-24 22:17:22,-19.55,169.27,77.0,88,75,9.69
240,Zyryanka,RU,2020-06-24 22:17:22,65.75,150.85,79.61,28,33,2.57
241,Semnan,IR,2020-06-24 22:17:22,35.57,53.4,76.91,19,0,1.41
242,Takaka,NZ,2020-06-24 22:17:22,-40.85,172.8,54.0,67,100,8.99
243,Samarai,PG,2020-06-24 22:17:22,-10.62,150.67,79.63,85,62,18.01
244,Magaria,NE,2020-06-24 22:17:22,13.0,8.91,94.08,20,68,7.94
245,Lompoc,US,2020-06-24 22:14:46,34.64,-120.46,71.01,64,100,16.11
246,Yerbogachen,RU,2020-06-24 22:17:22,61.28,108.01,58.89,77,0,1.68
247,Piterka,RU,2020-06-24 22:17:22,50.68,47.45,60.67,94,100,4.63
248,Montague,US,2020-06-24 22:17:23,42.54,-72.54,87.01,37,32,8.5
249,Neiafu,TO,2020-06-24 22:17:23,-18.65,-173.98,78.8,83,40,6.93
250,Constitucion,CL,2020-06-24 22:17:23,-35.33,-72.42,50.22,78,99,9.93
251,Seaford,GB,2020-06-24 22:17:23,50.77,0.1,70.0,57,0,13.73
252,Bandarbeyla,SO,2020-06-24 22:14:31,9.49,50.81,81.43,70,0,24.11
253,Chengde,CN,2020-06-24 22:17:23,40.97,117.94,64.09,87,98,1.57
254,Vaitape,PF,2020-06-24 22:17:23,-16.52,-151.75,80.58,82,20,9.4
255,Hamilton,US,2020-06-24 22:17:23,39.18,-84.53,81.0,44,20,8.05
256,Estelle,US,2020-06-24 22:17:24,29.85,-90.11,78.01,100,90,3.36
257,Praia Da Vitoria,PT,2020-06-24 22:17:24,38.73,-27.07,64.4,77,20,9.28
258,Tigzirt,DZ,2020-06-24 22:17:24,36.89,4.12,77.23,53,21,5.23
259,Asbe Teferi,ET,2020-06-24 22:17:24,9.08,40.87,63.95,78,43,4.65
260,Bacolod,PH,2020-06-24 22:17:24,10.67,122.95,80.06,78,100,2.24
261,Namibe,AO,2020-06-24 22:14:26,-15.2,12.15,69.51,59,0,6.24
262,Vitim,RU,2020-06-24 22:17:24,59.45,112.56,57.36,85,94,1.83
263,Bonavista,CA,2020-06-24 22:17:24,48.65,-53.11,63.63,85,46,16.37
264,Sahuaripa,MX,2020-06-24 22:17:24,29.05,-109.23,110.77,8,0,9.44
